,permno,hsiccd
6133042,19051,"Finance, Insurance, and Real Estate"
6151336,19107,Retail Trade
6165233,19131,Metal and Machinery Manufacturing
6181806,19166,Chemical and Allied Manufacturing
6206029,19174,Food and Tobacco Manufacturing
6223732,19203,Electronic and Transportation Equipment Manufacturing
6233637,19211,Wood and Paper Manufacturing
6243900,19254,Mining
6243905,19238,Metal and Machinery Manufacturing
6278377,19270,Textile and Apparel Manufacturing
6288162,19285,Metal and Machinery Manufacturing
6289104,19286,Electronic and Transportation Equipment Manufacturing
6290046,19297,Business Services
6303523,19334,Electronic and Transportation Equipment Manufacturing
6318411,19350,Metal and Machinery Manufacturing
6341985,19377,"Finance, Insurance, and Real Estate"
6359109,19385,Food and Tobacco Manufacturing
6369396,19393,Chemical and Allied Manufacturing
6392917,19414,Chemical and Allied Manufacturing
6392925,19430,Chemical and Allied Manufacturing
6419101,19502,Retail Trade
6442491,19510,Retail Trade
6452903,19537,Metal and Machinery Manufacturing
6468105,19553,Chemical and Allied Manufacturing
6485042,19561,Electronic and Transportation Equipment Manufacturing
6508264,19589,Retail Trade
6508465,19583,"Finance, Insurance, and Real Estate"
6514965,19596,Transportation
6536040,19617,Transportation
6547749,19625,Metal and Machinery Manufacturing
6555053,19668,Retail Trade
6563211,19684,Electronic and Transportation Equipment Manufacturing
6572474,19692,Electronic and Transportation Equipment Manufacturing
6590113,19713,"Finance, Insurance, and Real Estate"
6603159,19721,Business Services
6626135,19756,Food and Tobacco Manufacturing
6637036,19764,Metal and Machinery Manufacturing
6651545,19772,Wood and Paper Manufacturing
6659951,19828,Retail Trade
6659962,19807,Electronic and Transportation Equipment Manufacturing
6683621,19836,Retail Trade
6683623,19844,Chemical and Allied Manufacturing
6699355,19879,Wood and Paper Manufacturing
6710730,19887,Food and Tobacco Manufacturing
6710749,19895,Wholesale Trade
6741905,19916,Food and Tobacco Manufacturing
6758956,19932,Metal and Machinery Manufacturing
6767849,19940,Food and Tobacco Manufacturing
6767867,19959,Food and Tobacco Manufacturing
6785889,19967,Food and Tobacco Manufacturing
6793289,20001,Chemical and Allied Manufacturing
6802660,20036,Wood and Paper Manufacturing
6811081,20053,"Finance, Insurance, and Real Estate"
6822526,20057,Nonclassifiable Establishments
6823310,20079,Electronic and Transportation Equipment Manufacturing
6837842,20095,Retail Trade
6850838,20108,Wood and Paper Manufacturing
6856786,20124,"Finance, Insurance, and Real Estate"
6874258,20167,Metal and Machinery Manufacturing
6885808,20190,Nonclassifiable Establishments
6886576,20191,"Finance, Insurance, and Real Estate"
6887341,20204,Metal and Machinery Manufacturing
6887350,20220,Metal and Machinery Manufacturing
6907180,20239,Utilities
6909934,20263,Electronic and Transportation Equipment Manufacturing
6954315,20298,Mining
6962051,20343,Electronic and Transportation Equipment Manufacturing
6962064,20386,Wood and Paper Manufacturing
6962072,20407,Food and Tobacco Manufacturing
6988125,20394,Metal and Machinery Manufacturing
7016365,20415,"Finance, Insurance, and Real Estate"
7038884,20431,"Finance, Insurance, and Real Estate"
7047622,20474,Metal and Machinery Manufacturing
7047628,20482,Chemical and Allied Manufacturing
7083072,20503,Metal and Machinery Manufacturing
7090872,20511,Textile and Apparel Manufacturing
7098645,20554,Electronic and Transportation Equipment Manufacturing
7098648,20562,Electronic and Transportation Equipment Manufacturing
7103649,20570,Metal and Machinery Manufacturing
7132710,20626,Chemical and Allied Manufacturing
7153497,20650,Metal and Machinery Manufacturing
7159333,20677,Textile and Apparel Manufacturing
7172550,20714,Retail Trade
7184211,20730,Communications
7199489,20810,Mining
7205167,20853,Utilities
7221539,20896,Mining
7233489,20909,Metal and Machinery Manufacturing
7246246,21020,Transportation
7246266,20976,Transportation
7258898,20984,Transportation
7272750,20992,Chemical and Allied Manufacturing
7283064,21004,Communications
7320655,21055,Retail Trade
7334657,21151,Wood and Paper Manufacturing
7342538,21119,Metal and Machinery Manufacturing
7355253,21124,Chemical and Allied Manufacturing
7364772,21178,Electronic and Transportation Equipment Manufacturing
7386414,21186,Wood and Paper Manufacturing
7388135,21194,"Finance, Insurance, and Real Estate"
7402536,21207,Mining
7440428,21223,Transportation
7445923,21231,Utilities
7466145,21266,Wholesale Trade
7466153,21274,"Finance, Insurance, and Real Estate"
7487537,21282,Electronic and Transportation Equipment Manufacturing
7487557,21290,Electronic and Transportation Equipment Manufacturing
7518965,21303,Food and Tobacco Manufacturing
7530489,21338,Electronic and Transportation Equipment Manufacturing
7546487,21346,Retail Trade
7556552,21370,Utilities
7556567,21371,Wholesale Trade
7582386,21397,Wood and Paper Manufacturing
7582397,21418,Electronic and Transportation Equipment Manufacturing
7582400,21426,Electronic and Transportation Equipment Manufacturing
7582403,21434,Electronic and Transportation Equipment Manufacturing
7605253,21450,Chemical and Allied Manufacturing
7633335,21469,Transportation
7640558,21485,Transportation
7653133,21514,Utilities
7668276,21522,Electronic and Transportation Equipment Manufacturing
7680098,21530,Metal and Machinery Manufacturing
7688865,21549,Electronic and Transportation Equipment Manufacturing
7699252,21557,Metal and Machinery Manufacturing
7711159,21573,Wood and Paper Manufacturing
7736096,21645,Transportation
7742208,21688,Electronic and Transportation Equipment Manufacturing
7746722,21709,Mining
7757508,21768,Mining
7757511,21776,Utilities
7788660,21784,Electronic and Transportation Equipment Manufacturing
7793163,21792,Utilities
7813695,21821,Utilities
7828149,21872,Metal and Machinery Manufacturing
7841017,21901,Metal and Machinery Manufacturing
7841020,21928,Utilities
7846646,21936,Chemical and Allied Manufacturing
7887455,21979,Electronic and Transportation Equipment Manufacturing
7905052,22074,Retail Trade
7905083,21995,Transportation
7915799,22007,Metal and Machinery Manufacturing
7924955,22015,Food and Tobacco Manufacturing
7924962,22023,Metal and Machinery Manufacturing
7943983,22032,"Finance, Insurance, and Real Estate"
7952900,22066,Electronic and Transportation Equipment Manufacturing
7981096,22082,Utilities
